Testing size of 20000--------------,,,,Recursion limit (x),20k,40k,60k,80k,100k,200k,400k,500k,550k,600k,670k,700k,800k,1 million,2 million,3 million,4 million,5 million ,6 million,8 million,
196,309,,,,,,,,,,,,,,,,,,,,,,,,
198,347,,,,,,,,,,,,,,,,,,,,,,,,
200,320,,,,,,,,,,,,,,,,,,,,,,,,
202,313,,,,,,,,,,,,,,,,,,,,,,,,
204,354,,,,,,,,,,,,,,,,,,,,,,,,
206,425,,,,,,,,,,,,,,,,,,,,,,,,
208,356,,,,,,,,,,,,,,,,,,,,,,,,
210,372,,,,,,,,,,,,,,,,,,,,,,,,
212,319,,,,,,,,,,,,,,,,,,,,,,,,
214,327,,,,,,,,,,,,,,,,,,,,,,,,
216,336,,,,,,,,,,,,,,,,,,,,,,,,
218,340,,,,,,,,,,,,,,,,,,,,,,,,
220,334,,,,,,,,,,,,,,,,,,,,,,,,
222,557,,,,,,,,,,,,,,,,,,,,,,,,
224,551,,,,,,,,,,,,,,,,,,,,,,,,
226,461,,,,,,,,,,,,,,,,,,,,,,,,
228,437,,,,,,,,,,,,,,,,,,,,,,,,
230,407,,,,,,,,,,,,,,,,,,,,,,,,
232,421,,,,,,,,,,,,,,,,,,,,,,,,
234,437,,,,,,,,,,,,,,,,,,,,,,,,
236,390,,,,,,,,,,,,,,,,,,,,,,,,
238,408,,,,,,,,,,,,,,,,,,,,,,,,
240,374,,,,,,,,,,,,,,,,,,,,,,,,
242,382,,,,,,,,,,,,,,,,,,,,,,,,
244,372,,,,,,,,,,,,,,,,,,,,,,,,
246,549,,,,,,,,,,,,,,,,,,,,,,,,
248,1128,,,,,,,,,,,,,,,,,,,,,,,,
250,1010,,,,,,,,,,,,,,,,,,,,,,,,
252,1207,,,,,,,,,,,,,,,,,,,,,,,,
254,910,,,,,,,,,,,,,,,,,,,,,,,,
256,784,,,,,,,,,,,,,,,,,,,,,,,,
258,784,,,,,,,,,,,,,,,,,,,,,,,,
260,503,,,,,,,,,,,,,,,,,,,,,,,,
262,431,,,,,,,,,,,,,,,,,,,,,,,,
264,410,,,,,,,,,,,,,,,,,,,,,,,,
266,408,,,,,,,,,,,,,,,,,,,,,,,,
268,424,,,,,,,,,,,,,,,,,,,,,,,,
270,445,,,,,,,,,,,,,,,,,,,,,,,,
272,410,,,,,,,,,,,,,,,,,,,,,,,,
274,447,,,,,,,,,,,,,,,,,,,,,,,,
276,434,,,,,,,,,,,,,,,,,,,,,,,,
278,459,,,,,,,,,,,,,,,,,,,,,,,,
280,444,,,,,,,,,,,,,,,,,,,,,,,,
282,440,,,,,,,,,,,,,,,,,,,,,,,,
284,410,,,,,,,,,,,,,,,,,,,,,,,,
286,439,,,,,,,,,,,,,,,,,,,,,,,,
288,511,,,,,,,,,,,,,,,,,,,,,,,,
290,789,,,,,,,,,,,,,,,,,,,,,,,,
292,789,,,,,,,,,,,,,,,,,,,,,,,,
294,893,,,,,,,,,,,,,,,,,,,,,,,,
296,850,,,,,,,,,,,,,,,,,,,,,,,,
298,628,,,,,,,,,,,,,,,,,,,,,,,,
300,576,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 700000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,378,,,,,,,,,,,,,,,,,,,,,,,,
4,419,,,,,,,,,,,,,,,,,,,,,,,,
6,334,,,,,,,,,,,,,,,,,,,,,,,,
8,380,,,,,,,,,,,,,,,,,,,,,,,,
10,343,,,,,,,,,,,,,,,,,,,,,,,,
12,333,,,,,,,,,,,,,,,,,,,,,,,,
14,312,,,,,,,,,,,,,,,,,,,,,,,,
16,313,,,,,,,,,,,,,,,,,,,,,,,,
18,346,,,,,,,,,,,,,,,,,,,,,,,,
20,241,,,,,,,,,,,,,,,,,,,,,,,,
22,354,,,,,,,,,,,,,,,,,,,,,,,,
24,315,,,,,,,,,,,,,,,,,,,,,,,,
26,353,,,,,,,,,,,,,,,,,,,,,,,,
28,363,,,,,,,,,,,,,,,,,,,,,,,,
30,352,,,,,,,,,,,,,,,,,,,,,,,,
32,392,,,,,,,,,,,,,,,,,,,,,,,,
34,356,,,,,,,,,,,,,,,,,,,,,,,,
36,431,,,,,,,,,,,,,,,,,,,,,,,,
38,338,,,,,,,,,,,,,,,,,,,,,,,,
40,355,,,,,,,,,,,,,,,,,,,,,,,,
42,364,,,,,,,,,,,,,,,,,,,,,,,,
44,425,,,,,,,,,,,,,,,,,,,,,,,,
46,451,,,,,,,,,,,,,,,,,,,,,,,,
48,380,,,,,,,,,,,,,,,,,,,,,,,,
50,365,,,,,,,,,,,,,,,,,,,,,,,,
52,361,,,,,,,,,,,,,,,,,,,,,,,,
54,392,,,,,,,,,,,,,,,,,,,,,,,,
56,422,,,,,,,,,,,,,,,,,,,,,,,,
58,392,,,,,,,,,,,,,,,,,,,,,,,,
60,398,,,,,,,,,,,,,,,,,,,,,,,,
62,387,,,,,,,,,,,,,,,,,,,,,,,,
64,432,,,,,,,,,,,,,,,,,,,,,,,,
66,399,,,,,,,,,,,,,,,,,,,,,,,,
68,376,,,,,,,,,,,,,,,,,,,,,,,,
70,369,,,,,,,,,,,,,,,,,,,,,,,,
72,368,,,,,,,,,,,,,,,,,,,,,,,,
74,475,,,,,,,,,,,,,,,,,,,,,,,,
76,435,,,,,,,,,,,,,,,,,,,,,,,,
78,485,,,,,,,,,,,,,,,,,,,,,,,,
80,446,,,,,,,,,,,,,,,,,,,,,,,,
82,455,,,,,,,,,,,,,,,,,,,,,,,,
84,483,,,,,,,,,,,,,,,,,,,,,,,,
86,545,,,,,,,,,,,,,,,,,,,,,,,,
88,588,,,,,,,,,,,,,,,,,,,,,,,,
90,454,,,,,,,,,,,,,,,,,,,,,,,,
92,560,,,,,,,,,,,,,,,,,,,,,,,,
94,549,,,,,,,,,,,,,,,,,,,,,,,,
96,332,,,,,,,,,,,,,,,,,,,,,,,,
98,352,,,,,,,,,,,,,,,,,,,,,,,,
100,574,,,,,,,,,,,,,,,,,,,,,,,,
102,747,,,,,,,,,,,,,,,,,,,,,,,,
104,615,,,,,,,,,,,,,,,,,,,,,,,,
106,592,,,,,,,,,,,,,,,,,,,,,,,,
108,705,,,,,,,,,,,,,,,,,,,,,,,,
110,819,,,,,,,,,,,,,,,,,,,,,,,,
112,711,,,,,,,,,,,,,,,,,,,,,,,,
114,943,,,,,,,,,,,,,,,,,,,,,,,,
116,679,,,,,,,,,,,,,,,,,,,,,,,,
118,594,,,,,,,,,,,,,,,,,,,,,,,,
120,715,,,,,,,,,,,,,,,,,,,,,,,,
122,673,,,,,,,,,,,,,,,,,,,,,,,,
124,645,,,,,,,,,,,,,,,,,,,,,,,,
126,469,,,,,,,,,,,,,,,,,,,,,,,,
128,473,,,,,,,,,,,,,,,,,,,,,,,,
130,526,,,,,,,,,,,,,,,,,,,,,,,,
132,838,,,,,,,,,,,,,,,,,,,,,,,,
134,830,,,,,,,,,,,,,,,,,,,,,,,,
136,723,,,,,,,,,,,,,,,,,,,,,,,,
138,719,,,,,,,,,,,,,,,,,,,,,,,,
140,794,,,,,,,,,,,,,,,,,,,,,,,,
142,583,,,,,,,,,,,,,,,,,,,,,,,,
144,375,,,,,,,,,,,,,,,,,,,,,,,,
146,391,,,,,,,,,,,,,,,,,,,,,,,,
148,414,,,,,,,,,,,,,,,,,,,,,,,,
150,354,,,,,,,,,,,,,,,,,,,,,,,,
152,358,,,,,,,,,,,,,,,,,,,,,,,,
154,365,,,,,,,,,,,,,,,,,,,,,,,,
156,395,,,,,,,,,,,,,,,,,,,,,,,,
158,394,,,,,,,,,,,,,,,,,,,,,,,,
160,408,,,,,,,,,,,,,,,,,,,,,,,,
162,375,,,,,,,,,,,,,,,,,,,,,,,,
164,402,,,,,,,,,,,,,,,,,,,,,,,,
166,415,,,,,,,,,,,,,,,,,,,,,,,,
168,377,,,,,,,,,,,,,,,,,,,,,,,,
170,390,,,,,,,,,,,,,,,,,,,,,,,,
172,406,,,,,,,,,,,,,,,,,,,,,,,,
174,399,,,,,,,,,,,,,,,,,,,,,,,,
176,423,,,,,,,,,,,,,,,,,,,,,,,,
178,414,,,,,,,,,,,,,,,,,,,,,,,,
180,406,,,,,,,,,,,,,,,,,,,,,,,,
182,424,,,,,,,,,,,,,,,,,,,,,,,,
184,429,,,,,,,,,,,,,,,,,,,,,,,,
186,440,,,,,,,,,,,,,,,,,,,,,,,,
188,395,,,,,,,,,,,,,,,,,,,,,,,,
190,420,,,,,,,,,,,,,,,,,,,,,,,,
192,428,,,,,,,,,,,,,,,,,,,,,,,,
194,433,,,,,,,,,,,,,,,,,,,,,,,,
196,416,,,,,,,,,,,,,,,,,,,,,,,,
198,403,,,,,,,,,,,,,,,,,,,,,,,,
200,463,,,,,,,,,,,,,,,,,,,,,,,,
202,415,,,,,,,,,,,,,,,,,,,,,,,,
204,448,,,,,,,,,,,,,,,,,,,,,,,,
206,422,,,,,,,,,,,,,,,,,,,,,,,,
208,422,,,,,,,,,,,,,,,,,,,,,,,,
210,459,,,,,,,,,,,,,,,,,,,,,,,,
212,436,,,,,,,,,,,,,,,,,,,,,,,,
214,486,,,,,,,,,,,,,,,,,,,,,,,,
216,445,,,,,,,,,,,,,,,,,,,,,,,,
218,428,,,,,,,,,,,,,,,,,,,,,,,,
220,441,,,,,,,,,,,,,,,,,,,,,,,,
222,475,,,,,,,,,,,,,,,,,,,,,,,,
224,445,,,,,,,,,,,,,,,,,,,,,,,,
226,456,,,,,,,,,,,,,,,,,,,,,,,,
228,450,,,,,,,,,,,,,,,,,,,,,,,,
230,452,,,,,,,,,,,,,,,,,,,,,,,,
232,492,,,,,,,,,,,,,,,,,,,,,,,,
234,441,,,,,,,,,,,,,,,,,,,,,,,,
236,466,,,,,,,,,,,,,,,,,,,,,,,,
238,484,,,,,,,,,,,,,,,,,,,,,,,,
240,474,,,,,,,,,,,,,,,,,,,,,,,,
242,497,,,,,,,,,,,,,,,,,,,,,,,,
244,463,,,,,,,,,,,,,,,,,,,,,,,,
246,482,,,,,,,,,,,,,,,,,,,,,,,,
248,464,,,,,,,,,,,,,,,,,,,,,,,,
250,496,,,,,,,,,,,,,,,,,,,,,,,,
252,495,,,,,,,,,,,,,,,,,,,,,,,,
254,475,,,,,,,,,,,,,,,,,,,,,,,,
256,478,,,,,,,,,,,,,,,,,,,,,,,,
258,483,,,,,,,,,,,,,,,,,,,,,,,,
260,522,,,,,,,,,,,,,,,,,,,,,,,,
262,477,,,,,,,,,,,,,,,,,,,,,,,,
264,504,,,,,,,,,,,,,,,,,,,,,,,,
266,501,,,,,,,,,,,,,,,,,,,,,,,,
268,483,,,,,,,,,,,,,,,,,,,,,,,,
270,543,,,,,,,,,,,,,,,,,,,,,,,,
272,499,,,,,,,,,,,,,,,,,,,,,,,,
274,493,,,,,,,,,,,,,,,,,,,,,,,,
276,504,,,,,,,,,,,,,,,,,,,,,,,,
278,554,,,,,,,,,,,,,,,,,,,,,,,,
280,499,,,,,,,,,,,,,,,,,,,,,,,,
282,505,,,,,,,,,,,,,,,,,,,,,,,,
284,527,,,,,,,,,,,,,,,,,,,,,,,,
286,512,,,,,,,,,,,,,,,,,,,,,,,,
288,539,,,,,,,,,,,,,,,,,,,,,,,,
290,548,,,,,,,,,,,,,,,,,,,,,,,,
292,536,,,,,,,,,,,,,,,,,,,,,,,,
294,520,,,,,,,,,,,,,,,,,,,,,,,,
296,550,,,,,,,,,,,,,,,,,,,,,,,,
298,572,,,,,,,,,,,,,,,,,,,,,,,,
300,539,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 800000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,260,,,,,,,,,,,,,,,,,,,,,,,,
4,252,,,,,,,,,,,,,,,,,,,,,,,,
6,252,,,,,,,,,,,,,,,,,,,,,,,,
8,229,,,,,,,,,,,,,,,,,,,,,,,,
10,275,,,,,,,,,,,,,,,,,,,,,,,,
12,249,,,,,,,,,,,,,,,,,,,,,,,,
14,260,,,,,,,,,,,,,,,,,,,,,,,,
16,241,,,,,,,,,,,,,,,,,,,,,,,,
18,286,,,,,,,,,,,,,,,,,,,,,,,,
20,238,,,,,,,,,,,,,,,,,,,,,,,,
22,268,,,,,,,,,,,,,,,,,,,,,,,,
24,250,,,,,,,,,,,,,,,,,,,,,,,,
26,271,,,,,,,,,,,,,,,,,,,,,,,,
28,246,,,,,,,,,,,,,,,,,,,,,,,,
30,337,,,,,,,,,,,,,,,,,,,,,,,,
32,255,,,,,,,,,,,,,,,,,,,,,,,,
34,296,,,,,,,,,,,,,,,,,,,,,,,,
36,248,,,,,,,,,,,,,,,,,,,,,,,,
38,292,,,,,,,,,,,,,,,,,,,,,,,,
40,273,,,,,,,,,,,,,,,,,,,,,,,,
42,297,,,,,,,,,,,,,,,,,,,,,,,,
44,272,,,,,,,,,,,,,,,,,,,,,,,,
46,295,,,,,,,,,,,,,,,,,,,,,,,,
48,264,,,,,,,,,,,,,,,,,,,,,,,,
50,308,,,,,,,,,,,,,,,,,,,,,,,,
52,278,,,,,,,,,,,,,,,,,,,,,,,,
54,327,,,,,,,,,,,,,,,,,,,,,,,,
56,282,,,,,,,,,,,,,,,,,,,,,,,,
58,303,,,,,,,,,,,,,,,,,,,,,,,,
60,285,,,,,,,,,,,,,,,,,,,,,,,,
62,315,,,,,,,,,,,,,,,,,,,,,,,,
64,295,,,,,,,,,,,,,,,,,,,,,,,,
66,318,,,,,,,,,,,,,,,,,,,,,,,,
68,288,,,,,,,,,,,,,,,,,,,,,,,,
70,341,,,,,,,,,,,,,,,,,,,,,,,,
72,294,,,,,,,,,,,,,,,,,,,,,,,,
74,339,,,,,,,,,,,,,,,,,,,,,,,,
76,324,,,,,,,,,,,,,,,,,,,,,,,,
78,337,,,,,,,,,,,,,,,,,,,,,,,,
80,309,,,,,,,,,,,,,,,,,,,,,,,,
82,333,,,,,,,,,,,,,,,,,,,,,,,,
84,316,,,,,,,,,,,,,,,,,,,,,,,,
86,356,,,,,,,,,,,,,,,,,,,,,,,,
88,325,,,,,,,,,,,,,,,,,,,,,,,,
90,345,,,,,,,,,,,,,,,,,,,,,,,,
92,326,,,,,,,,,,,,,,,,,,,,,,,,
94,358,,,,,,,,,,,,,,,,,,,,,,,,
96,356,,,,,,,,,,,,,,,,,,,,,,,,
98,359,,,,,,,,,,,,,,,,,,,,,,,,
100,326,,,,,,,,,,,,,,,,,,,,,,,,
102,376,,,,,,,,,,,,,,,,,,,,,,,,
104,336,,,,,,,,,,,,,,,,,,,,,,,,
106,394,,,,,,,,,,,,,,,,,,,,,,,,
108,342,,,,,,,,,,,,,,,,,,,,,,,,
110,385,,,,,,,,,,,,,,,,,,,,,,,,
112,345,,,,,,,,,,,,,,,,,,,,,,,,
114,409,,,,,,,,,,,,,,,,,,,,,,,,
116,363,,,,,,,,,,,,,,,,,,,,,,,,
118,397,,,,,,,,,,,,,,,,,,,,,,,,
120,368,,,,,,,,,,,,,,,,,,,,,,,,
122,400,,,,,,,,,,,,,,,,,,,,,,,,
124,376,,,,,,,,,,,,,,,,,,,,,,,,
126,405,,,,,,,,,,,,,,,,,,,,,,,,
128,368,,,,,,,,,,,,,,,,,,,,,,,,
130,407,,,,,,,,,,,,,,,,,,,,,,,,
132,395,,,,,,,,,,,,,,,,,,,,,,,,
134,423,,,,,,,,,,,,,,,,,,,,,,,,
136,386,,,,,,,,,,,,,,,,,,,,,,,,
138,425,,,,,,,,,,,,,,,,,,,,,,,,
140,432,,,,,,,,,,,,,,,,,,,,,,,,
142,432,,,,,,,,,,,,,,,,,,,,,,,,
144,455,,,,,,,,,,,,,,,,,,,,,,,,
146,552,,,,,,,,,,,,,,,,,,,,,,,,
148,438,,,,,,,,,,,,,,,,,,,,,,,,
150,447,,,,,,,,,,,,,,,,,,,,,,,,
152,403,,,,,,,,,,,,,,,,,,,,,,,,
154,449,,,,,,,,,,,,,,,,,,,,,,,,
156,422,,,,,,,,,,,,,,,,,,,,,,,,
158,438,,,,,,,,,,,,,,,,,,,,,,,,
160,411,,,,,,,,,,,,,,,,,,,,,,,,
162,454,,,,,,,,,,,,,,,,,,,,,,,,
164,433,,,,,,,,,,,,,,,,,,,,,,,,
166,470,,,,,,,,,,,,,,,,,,,,,,,,
168,423,,,,,,,,,,,,,,,,,,,,,,,,
170,468,,,,,,,,,,,,,,,,,,,,,,,,
172,437,,,,,,,,,,,,,,,,,,,,,,,,
174,465,,,,,,,,,,,,,,,,,,,,,,,,
176,449,,,,,,,,,,,,,,,,,,,,,,,,
178,579,,,,,,,,,,,,,,,,,,,,,,,,
180,677,,,,,,,,,,,,,,,,,,,,,,,,
182,865,,,,,,,,,,,,,,,,,,,,,,,,
184,763,,,,,,,,,,,,,,,,,,,,,,,,
186,802,,,,,,,,,,,,,,,,,,,,,,,,
188,745,,,,,,,,,,,,,,,,,,,,,,,,
190,824,,,,,,,,,,,,,,,,,,,,,,,,
192,755,,,,,,,,,,,,,,,,,,,,,,,,
194,803,,,,,,,,,,,,,,,,,,,,,,,,
196,777,,,,,,,,,,,,,,,,,,,,,,,,
198,801,,,,,,,,,,,,,,,,,,,,,,,,
200,772,,,,,,,,,,,,,,,,,,,,,,,,
202,892,,,,,,,,,,,,,,,,,,,,,,,,
204,793,,,,,,,,,,,,,,,,,,,,,,,,
206,837,,,,,,,,,,,,,,,,,,,,,,,,
208,792,,,,,,,,,,,,,,,,,,,,,,,,
210,858,,,,,,,,,,,,,,,,,,,,,,,,
212,827,,,,,,,,,,,,,,,,,,,,,,,,
214,886,,,,,,,,,,,,,,,,,,,,,,,,
216,837,,,,,,,,,,,,,,,,,,,,,,,,
218,867,,,,,,,,,,,,,,,,,,,,,,,,
220,812,,,,,,,,,,,,,,,,,,,,,,,,
222,859,,,,,,,,,,,,,,,,,,,,,,,,
224,810,,,,,,,,,,,,,,,,,,,,,,,,
226,878,,,,,,,,,,,,,,,,,,,,,,,,
228,846,,,,,,,,,,,,,,,,,,,,,,,,
230,865,,,,,,,,,,,,,,,,,,,,,,,,
232,842,,,,,,,,,,,,,,,,,,,,,,,,
234,908,,,,,,,,,,,,,,,,,,,,,,,,
236,837,,,,,,,,,,,,,,,,,,,,,,,,
238,879,,,,,,,,,,,,,,,,,,,,,,,,
240,828,,,,,,,,,,,,,,,,,,,,,,,,
242,945,,,,,,,,,,,,,,,,,,,,,,,,
244,874,,,,,,,,,,,,,,,,,,,,,,,,
246,918,,,,,,,,,,,,,,,,,,,,,,,,
248,862,,,,,,,,,,,,,,,,,,,,,,,,
250,930,,,,,,,,,,,,,,,,,,,,,,,,
252,873,,,,,,,,,,,,,,,,,,,,,,,,
254,920,,,,,,,,,,,,,,,,,,,,,,,,
256,968,,,,,,,,,,,,,,,,,,,,,,,,
258,935,,,,,,,,,,,,,,,,,,,,,,,,
260,889,,,,,,,,,,,,,,,,,,,,,,,,
262,942,,,,,,,,,,,,,,,,,,,,,,,,
264,924,,,,,,,,,,,,,,,,,,,,,,,,
266,963,,,,,,,,,,,,,,,,,,,,,,,,
268,904,,,,,,,,,,,,,,,,,,,,,,,,
270,973,,,,,,,,,,,,,,,,,,,,,,,,
272,911,,,,,,,,,,,,,,,,,,,,,,,,
274,982,,,,,,,,,,,,,,,,,,,,,,,,
276,908,,,,,,,,,,,,,,,,,,,,,,,,
278,992,,,,,,,,,,,,,,,,,,,,,,,,
280,917,,,,,,,,,,,,,,,,,,,,,,,,
282,1017,,,,,,,,,,,,,,,,,,,,,,,,
284,964,,,,,,,,,,,,,,,,,,,,,,,,
286,1030,,,,,,,,,,,,,,,,,,,,,,,,
288,993,,,,,,,,,,,,,,,,,,,,,,,,
290,1012,,,,,,,,,,,,,,,,,,,,,,,,
292,976,,,,,,,,,,,,,,,,,,,,,,,,
294,1032,,,,,,,,,,,,,,,,,,,,,,,,
296,1005,,,,,,,,,,,,,,,,,,,,,,,,
298,1090,,,,,,,,,,,,,,,,,,,,,,,,
300,969,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Testing size of 1000000--------------,,,,,,,,,,,,,,,,,,,,,,,,,
2,535,,,,,,,,,,,,,,,,,,,,,,,,
4,591,,,,,,,,,,,,,,,,,,,,,,,,
6,620,,,,,,,,,,,,,,,,,,,,,,,,
8,578,,,,,,,,,,,,,,,,,,,,,,,,
10,565,,,,,,,,,,,,,,,,,,,,,,,,
12,616,,,,,,,,,,,,,,,,,,,,,,,,
14,596,,,,,,,,,,,,,,,,,,,,,,,,
16,596,,,,,,,,,,,,,,,,,,,,,,,,
18,584,,,,,,,,,,,,,,,,,,,,,,,,
20,595,,,,,,,,,,,,,,,,,,,,,,,,
22,588,,,,,,,,,,,,,,,,,,,,,,,,
24,555,,,,,,,,,,,,,,,,,,,,,,,,
26,611,,,,,,,,,,,,,,,,,,,,,,,,
28,625,,,,,,,,,,,,,,,,,,,,,,,,
30,604,,,,,,,,,,,,,,,,,,,,,,,,
32,634,,,,,,,,,,,,,,,,,,,,,,,,
34,609,,,,,,,,,,,,,,,,,,,,,,,,
36,613,,,,,,,,,,,,,,,,,,,,,,,,
38,633,,,,,,,,,,,,,,,,,,,,,,,,
40,646,,,,,,,,,,,,,,,,,,,,,,,,
42,635,,,,,,,,,,,,,,,,,,,,,,,,
44,632,,,,,,,,,,,,,,,,,,,,,,,,
46,618,,,,,,,,,,,,,,,,,,,,,,,,
48,667,,,,,,,,,,,,,,,,,,,,,,,,
50,650,,,,,,,,,,,,,,,,,,,,,,,,
52,640,,,,,,,,,,,,,,,,,,,,,,,,
54,706,,,,,,,,,,,,,,,,,,,,,,,,
56,638,,,,,,,,,,,,,,,,,,,,,,,,
58,709,,,,,,,,,,,,,,,,,,,,,,,,
60,708,,,,,,,,,,,,,,,,,,,,,,,,
62,669,,,,,,,,,,,,,,,,,,,,,,,,
64,691,,,,,,,,,,,,,,,,,,,,,,,,
66,669,,,,,,,,,,,,,,,,,,,,,,,,
68,694,,,,,,,,,,,,,,,,,,,,,,,,
70,743,,,,,,,,,,,,,,,,,,,,,,,,
72,668,,,,,,,,,,,,,,,,,,,,,,,,
74,708,,,,,,,,,,,,,,,,,,,,,,,,
76,822,,,,,,,,,,,,,,,,,,,,,,,,
78,753,,,,,,,,,,,,,,,,,,,,,,,,
80,713,,,,,,,,,,,,,,,,,,,,,,,,
82,729,,,,,,,,,,,,,,,,,,,,,,,,
84,756,,,,,,,,,,,,,,,,,,,,,,,,
86,907,,,,,,,,,,,,,,,,,,,,,,,,
88,762,,,,,,,,,,,,,,,,,,,,,,,,
90,749,,,,,,,,,,,,,,,,,,,,,,,,
92,751,,,,,,,,,,,,,,,,,,,,,,,,
94,766,,,,,,,,,,,,,,,,,,,,,,,,
96,802,,,,,,,,,,,,,,,,,,,,,,,,
98,770,,,,,,,,,,,,,,,,,,,,,,,,
100,781,,,,,,,,,,,,,,,,,,,,,,,,
102,797,,,,,,,,,,,,,,,,,,,,,,,,
104,797,,,,,,,,,,,,,,,,,,,,,,,,
106,800,,,,,,,,,,,,,,,,,,,,,,,,
108,773,,,,,,,,,,,,,,,,,,,,,,,,
110,816,,,,,,,,,,,,,,,,,,,,,,,,
112,861,,,,,,,,,,,,,,,,,,,,,,,,
114,805,,,,,,,,,,,,,,,,,,,,,,,,
116,831,,,,,,,,,,,,,,,,,,,,,,,,
118,827,,,,,,,,,,,,,,,,,,,,,,,,
120,840,,,,,,,,,,,,,,,,,,,,,,,,
122,841,,,,,,,,,,,,,,,,,,,,,,,,
124,820,,,,,,,,,,,,,,,,,,,,,,,,
126,826,,,,,,,,,,,,,,,,,,,,,,,,
128,858,,,,,,,,,,,,,,,,,,,,,,,,
130,844,,,,,,,,,,,,,,,,,,,,,,,,
132,859,,,,,,,,,,,,,,,,,,,,,,,,
134,842,,,,,,,,,,,,,,,,,,,,,,,,
136,875,,,,,,,,,,,,,,,,,,,,,,,,
138,871,,,,,,,,,,,,,,,,,,,,,,,,
140,845,,,,,,,,,,,,,,,,,,,,,,,,
142,866,,,,,,,,,,,,,,,,,,,,,,,,
144,929,,,,,,,,,,,,,,,,,,,,,,,,
146,891,,,,,,,,,,,,,,,,,,,,,,,,
148,885,,,,,,,,,,,,,,,,,,,,,,,,
150,899,,,,,,,,,,,,,,,,,,,,,,,,
152,895,,,,,,,,,,,,,,,,,,,,,,,,
154,923,,,,,,,,,,,,,,,,,,,,,,,,
156,1003,,,,,,,,,,,,,,,,,,,,,,,,
158,1075,,,,,,,,,,,,,,,,,,,,,,,,
160,913,,,,,,,,,,,,,,,,,,,,,,,,
162,930,,,,,,,,,,,,,,,,,,,,,,,,
164,1064,,,,,,,,,,,,,,,,,,,,,,,,
166,908,,,,,,,,,,,,,,,,,,,,,,,,
168,939,,,,,,,,,,,,,,,,,,,,,,,,
170,925,,,,,,,,,,,,,,,,,,,,,,,,
172,988,,,,,,,,,,,,,,,,,,,,,,,,
174,949,,,,,,,,,,,,,,,,,,,,,,,,
176,962,,,,,,,,,,,,,,,,,,,,,,,,
178,933,,,,,,,,,,,,,,,,,,,,,,,,
180,987,,,,,,,,,,,,,,,,,,,,,,,,
182,990,,,,,,,,,,,,,,,,,,,,,,,,
184,946,,,,,,,,,,,,,,,,,,,,,,,,
186,990,,,,,,,,,,,,,,,,,,,,,,,,
188,995,,,,,,,,,,,,,,,,,,,,,,,,
190,993,,,,,,,,,,,,,,,,,,,,,,,,
192,1001,,,,,,,,,,,,,,,,,,,,,,,,
194,1013,,,,,,,,,,,,,,,,,,,,,,,,
196,993,,,,,,,,,,,,,,,,,,,,,,,,
198,1034,,,,,,,,,,,,,,,,,,,,,,,,
200,1319,,,,,,,,,,,,,,,,,,,,,,,,
202,1395,,,,,,,,,,,,,,,,,,,,,,,,
204,1380,,,,,,,,,,,,,,,,,,,,,,,,
206,1378,,,,,,,,,,,,,,,,,,,,,,,,
208,1188,,,,,,,,,,,,,,,,,,,,,,,,
210,1370,,,,,,,,,,,,,,,,,,,,,,,,
212,1234,,,,,,,,,,,,,,,,,,,,,,,,
214,963,,,,,,,,,,,,,,,,,,,,,,,,
216,820,,,,,,,,,,,,,,,,,,,,,,,,
218,1147,,,,,,,,,,,,,,,,,,,,,,,,
220,1052,,,,,,,,,,,,,,,,,,,,,,,,
222,1160,,,,,,,,,,,,,,,,,,,,,,,,
224,834,,,,,,,,,,,,,,,,,,,,,,,,
226,1081,,,,,,,,,,,,,,,,,,,,,,,,
228,1283,,,,,,,,,,,,,,,,,,,,,,,,
230,1203,,,,,,,,,,,,,,,,,,,,,,,,
232,1328,,,,,,,,,,,,,,,,,,,,,,,,
234,1421,,,,,,,,,,,,,,,,,,,,,,,,
236,1291,,,,,,,,,,,,,,,,,,,,,,,,
238,940,,,,,,,,,,,,,,,,,,,,,,,,
240,918,,,,,,,,,,,,,,,,,,,,,,,,
242,853,,,,,,,,,,,,,,,,,,,,,,,,
244,828,,,,,,,,,,,,,,,,,,,,,,,,
246,802,,,,,,,,,,,,,,,,,,,,,,,,
248,768,,,,,,,,,,,,,,,,,,,,,,,,
250,772,,,,,,,,,,,,,,,,,,,,,,,,
252,1112,,,,,,,,,,,,,,,,,,,,,,,,
254,1324,,,,,,,,,,,,,,,,,,,,,,,,
256,1160,,,,,,,,,,,,,,,,,,,,,,,,
258,1283,,,,,,,,,,,,,,,,,,,,,,,,
260,1314,,,,,,,,,,,,,,,,,,,,,,,,
262,1242,,,,,,,,,,,,,,,,,,,,,,,,
264,1285,,,,,,,,,,,,,,,,,,,,,,,,
